los,check_in,median_price_per_night
3,2025-12-30,319.3333333333333
3,2026-01-02,295.0
3,2026-01-05,276.83333333333337
3,2026-01-09,287.3333333333333
3,2026-01-12,281.6666666666667
3,2026-01-15,291.0
3,2026-01-18,279.16666666666663
3,2026-01-21,284.6666666666667
3,2026-01-24,293.0
3,2026-01-27,292.83333333333337
3,2026-01-30,383.83333333333337
3,2026-02-02,379.5
3,2026-02-05,411.0
3,2026-02-09,370.6666666666667
3,2026-02-12,398.1666666666667
3,2026-02-15,388.6666666666667
3,2026-02-18,361.6666666666667
3,2026-02-21,369.33333333333337
3,2026-02-24,382.3333333333333
3,2026-02-27,394.83333333333337
3,2026-03-02,368.6666666666667
15,2025-12-18,258.23333333333335
15,2025-12-21,257.4333333333333
15,2025-12-24,257.4
15,2025-12-27,252.4
15,2025-12-30,249.4
15,2026-01-02,242.66666666666663
15,2026-01-05,240.69999999999996
15,2026-01-09,244.5
15,2026-01-12,245.26666666666668
15,2026-01-15,248.2
15,2026-01-18,252.3
15,2026-01-21,253.23333333333332
15,2026-01-24,262.7333333333333
15,2026-01-27,262.0
15,2026-01-30,335.93333333333334
15,2026-02-02,334.7
15,2026-02-05,353.26666666666665
15,2026-02-09,350.2
15,2026-02-12,353.5333333333333
15,2026-02-15,325.1333333333333
15,2026-02-18,350.8666666666667
15,2026-02-21,351.7333333333333
15,2026-02-24,368.73333333333335
15,2026-02-27,354.0333333333333
15,2026-03-02,349.9666666666667
