airbnb_neighborhood,train_n,observed_median,predicted_representative_price
Morumbi,43,418.83333333333337,350.1040857918764
Vila Olímpia,181,402.3333333333333,336.6652591006899
Pinheiros,332,313.2,314.2933146704284
Alvinópolis,109,359.0,307.01547860280397
Butantã,51,301.8666666666667,300.6358764978513
Jardim Paulista,327,336.0,297.06867327113173
Tatuapé,127,276.2,289.3316045122742
Lapa,48,239.63333333333333,280.7081318383851
Paraíso,47,340.6666666666667,267.7913787309451
Santo Amaro,226,269.4666666666667,264.2544389726826
Liberdade,86,263.0,262.66083594286783
Itaim Bibi,406,311.5333333333333,261.042949196109
Consolação,178,273.31666666666666,259.6076989352453
Santana,101,261.0,252.41692322971767
Vila Madalena,116,267.76666666666665,250.32502867586075
Barra Funda,246,255.83333333333331,239.55110409424037
Perdizes,117,257.4,234.12709394129143
Campinas,64,261.6666666666667,228.07185381509638
Pompéia,114,279.33333333333337,227.07440847227946
Jabaquara,53,243.66666666666663,225.2984754269271
Belém,75,215.4,225.00480236837518
Vila Mariana,303,238.53333333333333,223.24547463358093
Centro,57,241.8,222.80065332155792
República,290,225.25,221.7215619135467
Bela Vista,254,276.0,218.9338840082359
Campo Belo,152,236.39999999999998,217.5641794845739
Riviera De Sao Lourenco,188,2139.133333333333,214.18425888494303
Vila Guilherme,41,280.6,213.66787707100315
Bertioga,84,2706.7666666666664,212.38134632471318
Sé,53,195.66666666666663,211.80433311859449
Santa Cecília,87,269.8,209.56221579795093
Vila Anita,42,248.2,209.44737124400672
Ipiranga,78,218.3,209.40740982404563
Tucuruvi,50,201.4,201.85180404168864
Brás,163,273.5,196.30576108722414
Água Rasa,55,139.46666666666667,138.098448888625
