column,missing_rate
airbnb_service_fee,1.0
cleaning_fee,1.0
original_price,0.5032198737354753
discounted_price,0.5032198737354753
main_price,0.4967801262645247
discount,0.33780344467813184
price_total_with_cleaning,0.2898656491181103
los,0.0
reference_date,0.0
check_in,0.0
review_count,0.0
id,0.0
check_out,0.0
total_before_discount,0.0
price_per_night,0.0
communication_rating,0.0
guest_satisfaction_rating,0.0
accuracy_rating,0.0
value_rating,0.0
location_rating,0.0
cleanliness_rating,0.0
extraction_date,0.0
