airbnb_neighborhood,n,actual_median,pred_median,MAE,MAPE,Bias
São Paulo,682,273.16666666666663,261.29030313376717,254.71536793125307,23.669870348118533,-200.82183957464744
Itaim Bibi,101,309.8666666666667,318.36114809497036,146.8190414367953,20.715769026427246,-76.3594217255752
Vila Mariana,101,236.66666666666663,236.42082890009152,164.04675880100007,18.499032350584354,-127.26355051475238
Pinheiros,91,347.0,318.10955623151636,247.29589818168637,22.34327988547009,-206.34701487400622
Jardim Paulista,85,333.83333333333337,313.95217907404566,149.94630122990839,28.033825190980288,-51.730285610030776
República,71,217.5,227.0704447743445,56.96625942338636,19.817533237432144,-9.8832615158313
Bela Vista,70,270.0666666666667,254.1674368624715,489.8782993958153,25.346837580925555,-431.04006609294146
Santo Amaro,59,316.0,259.52650137837065,508.654610384691,20.181532237093535,-474.14660618174975
Barra Funda,56,276.83333333333337,255.0975633265739,210.6512662980802,24.20613223466586,-172.5314505176033
Riviera De Sao Lourenco,54,2048.0,2065.0741786761905,3539.710361814588,36.29534340150187,-2999.3495755606527
Consolação,48,309.81666666666666,273.0027993836967,166.15074948849505,21.99528544820416,-124.72010853454243
Brás,47,257.0,290.4016503555675,71.7679088523406,20.440010523205668,-21.832171511992954
